date,name,lat,lon,address,pm25_aod_proxy,geometry,weather_date,temp_max,temp_min,precip_mm,cafe_rating,cafe_user_ratings_total,season,ndvi,nightlight,cafe_place_id,elevation_m,parks_count_1km,open_bars_count_500m
2025-01-01,LAP COFFEE,52.4867684,13.35549,"Akazienstraße 3A, 10823 Berlin, Germany",0.06,POINT (13.35549 52.4867684),2025-01-01,6.9,0.5,0.0,4.7,151,Winter,,23.290000915527344,ChIJGzWI8E5RqEcRYF2oui3pSKc,45.0,11,12
2025-01-02,LAP COFFEE,52.4867684,13.35549,"Akazienstraße 3A, 10823 Berlin, Germany",0.06,POINT (13.35549 52.4867684),2025-01-02,6.8,1.2,4.0,4.7,151,Winter,,23.290000915527344,ChIJGzWI8E5RqEcRYF2oui3pSKc,45.0,11,12
2025-01-03,LAP COFFEE,52.4867684,13.35549,"Akazienstraße 3A, 10823 Berlin, Germany",0.06,POINT (13.35549 52.4867684),2025-01-03,2.6,-1.2,4.6,4.7,151,Winter,,23.290000915527344,ChIJGzWI8E5RqEcRYF2oui3pSKc,45.0,11,12
2025-01-04,LAP COFFEE,52.4867684,13.35549,"Akazienstraße 3A, 10823 Berlin, Germany",0.066,POINT (13.35549 52.4867684),2025-01-04,0.8,-2.3,0.0,4.7,151,Winter,,23.290000915527344,ChIJGzWI8E5RqEcRYF2oui3pSKc,45.0,11,12
2025-01-05,LAP COFFEE,52.4867684,13.35549,"Akazienstraße 3A, 10823 Berlin, Germany",0.061,POINT (13.35549 52.4867684),2025-01-05,0.4,-2.4,8.8,4.7,151,Winter,,23.290000915527344,ChIJGzWI8E5RqEcRYF2oui3pSKc,45.0,11,12
2025-01-06,LAP COFFEE,52.4867684,13.35549,"Akazienstraße 3A, 10823 Berlin, Germany",0.056,POINT (13.35549 52.4867684),2025-01-06,11.5,0.9,11.0,4.7,151,Winter,,23.290000915527344,ChIJGzWI8E5RqEcRYF2oui3pSKc,45.0,11,12
2025-01-07,LAP COFFEE,52.4867684,13.35549,"Akazienstraße 3A, 10823 Berlin, Germany",0.056,POINT (13.35549 52.4867684),2025-01-07,8.8,1.5,2.1,4.7,151,Winter,,23.290000915527344,ChIJGzWI8E5RqEcRYF2oui3pSKc,45.0,11,12
2025-01-08,LAP COFFEE,52.4867684,13.35549,"Akazienstraße 3A, 10823 Berlin, Germany",0.056,POINT (13.35549 52.4867684),2025-01-08,4.2,0.0,2.8,4.7,151,Winter,,23.290000915527344,ChIJGzWI8E5RqEcRYF2oui3pSKc,45.0,11,12
2025-01-09,LAP COFFEE,52.4867684,13.35549,"Akazienstraße 3A, 10823 Berlin, Germany",0.165,POINT (13.35549 52.4867684),2025-01-09,1.2,0.3,15.8,4.7,151,Winter,,23.290000915527344,ChIJGzWI8E5RqEcRYF2oui3pSKc,45.0,11,12
2025-01-10,LAP COFFEE,52.4867684,13.35549,"Akazienstraße 3A, 10823 Berlin, Germany",0.12600000000000003,POINT (13.35549 52.4867684),2025-01-10,1.4,-0.5,5.3,4.7,151,Winter,,23.290000915527344,ChIJGzWI8E5RqEcRYF2oui3pSKc,45.0,11,12
